"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::Use Default","Use Default"
"Customweb_OPPCw::Use Style","Use Style"
"Customweb_OPPCw::Use base currency","Use base currency"
"Customweb_OPPCw::User ID","User ID"
"Customweb_OPPCw::User Id","User ID"
"Customweb_OPPCw::User Password","User Password"
"Customweb_OPPCw::V PAY","V PAY"
"Customweb_OPPCw::VISA","VISA"
"Customweb_OPPCw::VISA (Debit)","VISA (Debit)"
"Customweb_OPPCw::VISA Electron","VISA Electron"
"Customweb_OPPCw::Validation","Validation"
"Customweb_OPPCw::Validation: The amounts do not match.","Validation: The amounts do not match."
"Customweb_OPPCw::Validation: The currencies do not match.","Validation: The currencies do not match."
"Customweb_OPPCw::Validation: The payment brands do not match.","Validation: The payment brands do not match."
"Customweb_OPPCw::Validation: The payment types do not match.","Validation: The payment types do not match."
"Customweb_OPPCw::Version","Version"
"Customweb_OPPCw::Version 1 (Classic)","Version 1 (Classic)"
"Customweb_OPPCw::Version 2 (PCI DSS SAQ A)","Version 2 (PCI DSS SAQ A)"
"Customweb_OPPCw::View","View"
"Customweb_OPPCw::Visa","Visa"
"Customweb_OPPCw::Wait On Success Page","Wait On Success Page"
"Customweb_OPPCw::Waiting for bank","Waiting for bank"
"Customweb_OPPCw::Waiting for client payment","Waiting for customer payment"
"Customweb_OPPCw::Waiting for risk management","Waiting for risk management"
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order."
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order."
"Customweb_OPPCw::We cannot get the transaction instance.","We can not establish a transaction."
"Customweb_OPPCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the Open Payment Platform plugin."
"Customweb_OPPCw::Webhook Secret Key","Webhook Secret Key"
"Customweb_OPPCw::Webhook URL","Webhook URL"
"Customweb_OPPCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_OPPCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","When using an external checkout, the customer can either be asked to choose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in Magento."
"Customweb_OPPCw::Wrapper for encrypted notifcation","Wrapper for encrypted notifcation"
"Customweb_OPPCw::Year","Year"
"Customweb_OPPCw::Yellow","Yellow"
"Customweb_OPPCw::Yes","Yes"
"Customweb_OPPCw::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_OPPCw::You can allow the customers to manage/delete their aliases in the their account.","You can allow the customers to manage/delete their aliases in their account."
"Customweb_OPPCw::You can change this brand code, if your PSP supports different countries for this payment method","You can change this brand code, if your PSP supports different countries for this payment method."
"Customweb_OPPCw::You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks.","You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks."
"Customweb_OPPCw::You can decide on the order status new orders should have after they are processed successfully.","You can specify the order status for new orders that have been processed successfully."
"Customweb_OPPCw::You can decide on the order status new orders should have that have an uncertain authorization status.","You can specify the order status for new orders that have an uncertain authorisation status."
"Customweb_OPPCw::You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line.","You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line."
"Customweb_OPPCw::You can restrict the available countries. If no country is selected all available will be shown.","You can restrict the available countries. If no country is selected all available will be shown."
"Customweb_OPPCw::You can specify the order status for new orders that have an uncertain authorisation status.","You can specify the order status for new orders that have an uncertain authorisation status."
"Customweb_OPPCw::You can specify the order status for orders that are approved after being in a uncertain state.","You can specify the order status for orders that are approved after being in an uncertain state."
"Customweb_OPPCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","You can specify the order status for orders that are captured either directly after the order or manually in the back-end."
"Customweb_OPPCw::You can specify the order status for orders that are denied after being in a uncertain state.","You can specify the order status for orders that are denied after being in an uncertain state."
"Customweb_OPPCw::You can specify the order status when an order is cancelled.","You can specify the order status for cancelled orders."
"Customweb_OPPCw::You can specify the secret key during the setup of the webhook.","You can specify the secret key during the setup of the webhook."
"Customweb_OPPCw::You can switch between the different environments, by selecting the corresponding operation mode.","You can switch between the different environments, by selecting the corresponding operation mode."
"Customweb_OPPCw::You can switch between the different test modes.","You can switch between the different test modes."
"Customweb_OPPCw::You can use a custom JavaScript file on the payment page and iframe authorization.","You can use a custom JavaScript file on the payment page and iFrame authorization."
"Customweb_OPPCw::You can use a custom cancel button image for the payment page and iframe authorization.","You can use a customized cancel button image for the payment page and iFrame authorization."
"Customweb_OPPCw::You can use a custom css file on the payment page and iframe authorization.","You can use a custom CSS file on the payment page and iFrame authorization."
"Customweb_OPPCw::You can use a custom pay button image for the payment page and iframe authorization.","You can use a custom pay button image for the payment page and iFrame authorization."
"Customweb_OPPCw::You created the order.","You created the order."
"Customweb_OPPCw::You do not specify yet a user id. Please specify in the main configurations a user id.","You have not set a User ID. Please set a User ID in the main configurations."
"Customweb_OPPCw::You do not specify yet a user password. Please specify in the main configurations a user password.","You have not set a user password. Please set a user password in the main configurations."
"Customweb_OPPCw::You do not specify yet the global entity ID. Please specify in the main configurations a global entity id.","You have not determined the global entity ID. Please do so in the main configurations."
"Customweb_OPPCw::You have no stored aliases.","You have no stored aliases."
"Customweb_OPPCw::You have to enter a card number.","You have to enter a card number."
"Customweb_OPPCw::You have to enter bank code of your bank.","Enter your bank's bank code."
"Customweb_OPPCw::You have to enter commercial number of you company.","Please enter the commercial number of your company."
"Customweb_OPPCw::You have to enter either the CVC code or the issue number of your card.","You have to enter either the CVC code or the issue number of your card."
"Customweb_OPPCw::You have to enter sales tax number of you company.","You have to enter sales tax number of you company."
"Customweb_OPPCw::You have to enter sales tax number of your company.","Please enter your company's sales tax number."
"Customweb_OPPCw::You have to enter the BIC.","You have to enter the BIC of your bank."
"Customweb_OPPCw::You have to enter the CVC code from your card.","Enter the CVC code from your card"
"Customweb_OPPCw::You have to enter the IBAN.","You have to enter your IBAN number."
"Customweb_OPPCw::You have to enter the account holder name on the card.","You have to enter the account holder name on the card."
"Customweb_OPPCw::You have to enter the account holder name.","You have to enter the account holder name."
"Customweb_OPPCw::You have to enter the card holder name on the card.","You have to enter the card holder name."
"Customweb_OPPCw::You have to enter the location of your bank.","Please enter the location of your bank."
"Customweb_OPPCw::You have to enter the name of the account owner.","Please enter the name of the account owner"
"Customweb_OPPCw::You have to enter the name of your bank.","You have to enter the name of your bank."
"Customweb_OPPCw::You have to enter your IBAN Number.","You have to enter your IBAN number."
"Customweb_OPPCw::You have to enter your bank account number.","Please enter here the International Bank Account Number (IBAN)."
"Customweb_OPPCw::You have to enter your gender.","Please enter your gender."
"Customweb_OPPCw::You have to enter your social security number.","Please enter your social security number."
"Customweb_OPPCw::You may choose one of the cards you paid before on this site.","You may choose from one of the cards previously used on this site."
"Customweb_OPPCw::You may choose one of your stored payment details.","You may choose one of your stored payment details."
"Customweb_OPPCw::You must accept the terms of the mandate.","You must accept the terms of the mandate."
"Customweb_OPPCw::You must agree to the presented mandate text.","You must agree to the presented mandate text."
"Customweb_OPPCw::You must agree to the terms of service.","You must agree to the terms of service."
"Customweb_OPPCw::You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings.","You will receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be used, when no specific Entity ID is defined in the payment method settings."
"Customweb_OPPCw::You will be redirect to the order confirmation page.","You will be redirected to the order confirmation page."
"Customweb_OPPCw::You've reached the maximum amount of Afterpay paments.","You've reached the maximum amount of Afterpay paments."
"Customweb_OPPCw::Your CoC number is incorrect.","Your CoC number is incorrect."
"Customweb_OPPCw::Your address is invalid or incomplete.","Your address is invalid or incomplete."
"Customweb_OPPCw::Your age is below 18.","Your age is below 18."
"Customweb_OPPCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page."
"Customweb_OPPCw::Your email address is invalid or incomplete.","Your email address is invalid or incomplete."
"Customweb_OPPCw::Your order amount is too high.","Your order amount is too high."
"Customweb_OPPCw::Your order amount is too low.","Your order amount is too low."
"Customweb_OPPCw::Your request to use Afterpay has been declined.","Your request to use Afterpay has been declined."
"Customweb_OPPCw::OPPCw Aliases","OPPCw Aliases"
"Customweb_OPPCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_OPPCw::Open Payment Platform","Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Aliases","Open Payment Platform Aliases"
"Customweb_OPPCw::Open Payment Platform Error","Open Payment Platform Error"
"Customweb_OPPCw::Open Payment Platform Parameters","Open Payment Platform Parameters"
"Customweb_OPPCw::Open Payment Platform Refund Items","Open Payment Platform Refund Items"
"Customweb_OPPCw::Open Payment Platform Section","Open Payment Platform Section"
"Customweb_OPPCw::Open Payment Platform Transactions","Open Payment Platform Transactions"
"Customweb_OPPCw::Open Payment Platform Unique ID","Open Payment Platform Unique ID"
"Customweb_OPPCw::Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail.","Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail."
"Customweb_OPPCw::Open Payment Platform: Alias Management","Open Payment Platform: Alias Management"
"Customweb_OPPCw::customweb ltd","customweb ltd"
"Customweb_OPPCw::http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1","http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1"
"Customweb_OPPCw::md5","md5"
"Customweb_OPPCw::no","No"
"Customweb_OPPCw::or","or"
"Customweb_OPPCw::sha2-384","sha2-384"
"Customweb_OPPCw::yes","Yes"
