"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::To use the Klarna payment method, please specify the Klarna merchant id (EID).","To use the Klarna payment method, please specify the Klarna merchant id (EID)."
"Customweb_OPPCw::To use the Klarna payment method, the billing and shipping addresses must not differ.","To use the Klarna payment method, the billing and shipping addresses must not differ."
"Customweb_OPPCw::To use this payment method you need to add a state to your address.","Para utilizar este método de pago es necesario agregar un estado a su dirección."
"Customweb_OPPCw::Total","Total"
"Customweb_OPPCw::Total Shipping Charges","Total de gastos de envío"
"Customweb_OPPCw::Track order history","Track order history"
"Customweb_OPPCw::Transaction","Transaction"
"Customweb_OPPCw::Transaction Authorized","Transacción autorizada"
"Customweb_OPPCw::Transaction Cancelled","Transacción cancelada"
"Customweb_OPPCw::Transaction Captured","Transacción contabilizada"
"Customweb_OPPCw::Transaction History","Transaction History"
"Customweb_OPPCw::Transaction Id","Transaction Id"
"Customweb_OPPCw::Transaction Paid","Transacción pagado"
"Customweb_OPPCw::Transaction Uncertain","Transacción es incierto"
"Customweb_OPPCw::Transaction Updates","Transaction Updates"
"Customweb_OPPCw::Transaction cancelled successfully","Transacción cancelada exitosamente"
"Customweb_OPPCw::Transaction captured successfully","Transacción capturado con éxito"
"Customweb_OPPCw::Transaction failed with an unkown reason.","Transaction failed with an unkown reason."
"Customweb_OPPCw::Transaction failed with code @code and message @message.","Transaction failed with code @code and message @message."
"Customweb_OPPCw::Transaction failed with code @code.","Transaction failed with code @code."
"Customweb_OPPCw::Transaction history","Resumen de transacciones"
"Customweb_OPPCw::Transaction was authorized over the deferred authorization mechanism.","Operación fue autorizada por el mecanismo de autorización diferido."
"Customweb_OPPCw::TransactionStatus URL","TransactionStatus URL"
"Customweb_OPPCw::Transactions","Transactions"
"Customweb_OPPCw::Unable to save the invoice.","No se puede guardar la factura."
"Customweb_OPPCw::Uncertain Status","Estado Incierto"
"Customweb_OPPCw::Uncertain scoring","Uncertain scoring"
"Customweb_OPPCw::Uncertain transactions","Transacción está incierta"
"Customweb_OPPCw::Unexpected transaction context type.","Unexpected transaction context type."
"Customweb_OPPCw::Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order.","Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order."
"Customweb_OPPCw::United Kingdom","United Kingdom"
"Customweb_OPPCw::Unknown error occurred while processing your request.","Unknown error occurred while processing your request."
"Customweb_OPPCw::Update","Actualización"
"Customweb_OPPCw::Update Qty's","Actualización de la cantidad"
"Customweb_OPPCw::Update interval for payments","Interval de actualisación para pagos"
"Customweb_OPPCw::Use Base Currency","Use Base Currency"
"Customweb_OPPCw::Use Default","Utilice la configuración estándar."
"Customweb_OPPCw::Use Style","Use Style"
"Customweb_OPPCw::Use base currency","Use base currency"
"Customweb_OPPCw::User ID","User ID"
"Customweb_OPPCw::User Id","ID de usuario"
"Customweb_OPPCw::User Password","Contraseña del Usuario"
"Customweb_OPPCw::V PAY","V PAY"
"Customweb_OPPCw::VISA","VISA"
"Customweb_OPPCw::VISA (Debit)","VISA (Debit)"
"Customweb_OPPCw::VISA Electron","VISA Electron"
"Customweb_OPPCw::Validation","Validación"
"Customweb_OPPCw::Validation: The amounts do not match.","Validation: The amounts do not match."
"Customweb_OPPCw::Validation: The currencies do not match.","Validation: The currencies do not match."
"Customweb_OPPCw::Validation: The payment brands do not match.","Validation: The payment brands do not match."
"Customweb_OPPCw::Validation: The payment types do not match.","Validation: The payment types do not match."
"Customweb_OPPCw::Version","Version"
"Customweb_OPPCw::Version 1 (Classic)","Version 1 (Classic)"
"Customweb_OPPCw::Version 2 (PCI DSS SAQ A)","Version 2 (PCI DSS SAQ A)"
"Customweb_OPPCw::View","View"
"Customweb_OPPCw::Visa","Visa"
"Customweb_OPPCw::Wait On Success Page","Wait On Success Page"
"Customweb_OPPCw::Waiting for bank","Esperando banco"
"Customweb_OPPCw::Waiting for client payment","Esperando para el pago del cliente"
"Customweb_OPPCw::Waiting for risk management","Esperando a la gestión de riesgos"
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order."
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order."
"Customweb_OPPCw::We cannot get the transaction instance.","We cannot get the transaction instance."
"Customweb_OPPCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Hemos experimentado un problema con su extensión de pago sellxed. Para obtener más información, visite la página de configuración del plugin."
"Customweb_OPPCw::Webhook Secret Key","Webhook Secret Key"
"Customweb_OPPCw::Webhook URL","Webhook URL"
"Customweb_OPPCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_OPPCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento."
"Customweb_OPPCw::Wrapper for encrypted notifcation","Wrapper for encrypted notifcation"
"Customweb_OPPCw::Year","Año"
"Customweb_OPPCw::Yellow","Yellow"
"Customweb_OPPCw::Yes","Sí"
"Customweb_OPPCw::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_OPPCw::You can allow the customers to manage/delete their aliases in the their account.","You can allow the customers to manage/delete their aliases in the their account."
"Customweb_OPPCw::You can change this brand code, if your PSP supports different countries for this payment method","You can change this brand code, if your PSP supports different countries for this payment method"
"Customweb_OPPCw::You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks.","You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks."
"Customweb_OPPCw::You can decide on the order status new orders should have after they are processed successfully.","Define el estado del pedido de nuevas órdenes, que se procesaron correctamente."
"Customweb_OPPCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Define el estado del pedido de nuevas órdenes con el estado inseguro."
"Customweb_OPPCw::You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line.","You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line."
"Customweb_OPPCw::You can restrict the available countries. If no country is selected all available will be shown.","You can restrict the available countries. If no country is selected all available will be shown."
"Customweb_OPPCw::You can specify the order status for new orders that have an uncertain authorisation status.","Se puede especificar el estado del pedido de los nuevos pedidos que tienen un estado de autorización incierto."
"Customweb_OPPCw::You can specify the order status for orders that are approved after being in a uncertain state.","You can specify the order status for orders that are approved after being in a uncertain state."
"Customweb_OPPCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Se puede especificar el estado del pedido para los pedidos que se capturan de forma directa después del pedido o de forma manual en el backend."
"Customweb_OPPCw::You can specify the order status for orders that are denied after being in a uncertain state.","You can specify the order status for orders that are denied after being in a uncertain state."
"Customweb_OPPCw::You can specify the order status when an order is cancelled.","Se puede especificar el estado del pedido cuando un pedido se cancela."
"Customweb_OPPCw::You can specify the secret key during the setup of the webhook.","You can specify the secret key during the setup of the webhook."
"Customweb_OPPCw::You can switch between the different environments, by selecting the corresponding operation mode.","You can switch between the different environments, by selecting the corresponding operation mode."
"Customweb_OPPCw::You can switch between the different test modes.","You can switch between the different test modes."
"Customweb_OPPCw::You can use a custom JavaScript file on the payment page and iframe authorization.","Puede utilizar un archivo JavaScript personalizado en la página de pago y autorización iFrame."
"Customweb_OPPCw::You can use a custom cancel button image for the payment page and iframe authorization.","Puede utilizar una imagen personalizada botón de cancelación para la página de pago y autorización iframe."
"Customweb_OPPCw::You can use a custom css file on the payment page and iframe authorization.","Puede utilizar un archivo CSS personalizado en la página de pago y autorización iFrame."
"Customweb_OPPCw::You can use a custom pay button image for the payment page and iframe authorization.","Puede utilizar una imagen de botón de pago personalizado para la página de pago y autorización iFrame."
"Customweb_OPPCw::You created the order.","You created the order."
"Customweb_OPPCw::You do not specify yet a user id. Please specify in the main configurations a user id.","You do not specify yet a user id. Please specify in the main configurations a user id."
"Customweb_OPPCw::You do not specify yet a user password. Please specify in the main configurations a user password.","You do not specify yet a user password. Please specify in the main configurations a user password."
"Customweb_OPPCw::You do not specify yet the global entity ID. Please specify in the main configurations a global entity id.","You do not specify yet the global entity ID. Please specify in the main configurations a global entity id."
"Customweb_OPPCw::You have no stored aliases.","You have no stored aliases."
"Customweb_OPPCw::You have to enter a card number.","Debe inserir un número de tarjeta"
"Customweb_OPPCw::You have to enter bank code of your bank.","Debe introducir el código bancario"
"Customweb_OPPCw::You have to enter commercial number of you company.","Usted tiene que ingresar el número comercial de su empresa."
"Customweb_OPPCw::You have to enter either the CVC code or the issue number of your card.","Usted tiene que ingresar ya sea el código CVC o el número de expedición de la tarjeta."
"Customweb_OPPCw::You have to enter sales tax number of you company.","Usted tiene que ingresar el número de impuesto sobre las ventas de su empresa."
"Customweb_OPPCw::You have to enter sales tax number of your company.","You have to enter sales tax number of your company."
"Customweb_OPPCw::You have to enter the BIC.","Entrar en el BIC."
"Customweb_OPPCw::You have to enter the CVC code from your card.","Debe introducir el CVC su tarjeta."
"Customweb_OPPCw::You have to enter the IBAN.","Entrar en el IBAN."
"Customweb_OPPCw::You have to enter the account holder name on the card.","Usted tiene que introducir el nombre del titular de la tarjeta."
"Customweb_OPPCw::You have to enter the account holder name.","Entrar en el nombre del titular de la cuenta."
"Customweb_OPPCw::You have to enter the card holder name on the card.","Debe introducir el titular de la tarjeta."
"Customweb_OPPCw::You have to enter the location of your bank.","Tienes que entrar en la ubicación de su banco."
"Customweb_OPPCw::You have to enter the name of the account owner.","Debe introducir el titular de la cuenta bancaria"
"Customweb_OPPCw::You have to enter the name of your bank.","Usted tiene que introducir el nombre de su banco."
"Customweb_OPPCw::You have to enter your IBAN Number.","Tiene que introducir su número de IBAN."
"Customweb_OPPCw::You have to enter your bank account number.","Debe introducir el número de cuenta de tu cuenta bancaria."
"Customweb_OPPCw::You have to enter your gender.","Tienes que entrar en su sexo."
"Customweb_OPPCw::You have to enter your social security number.","Tiene que introducir su número de seguro social."
"Customweb_OPPCw::You may choose one of the cards you paid before on this site.","Usted puede elegir entre una tarjeta utilizada anteriormente:"
"Customweb_OPPCw::You may choose one of your stored payment details.","You may choose one of your stored payment details."
"Customweb_OPPCw::You must accept the terms of the mandate.","You must accept the terms of the mandate."
"Customweb_OPPCw::You must agree to the presented mandate text.","You must agree to the presented mandate text."
"Customweb_OPPCw::You must agree to the terms of service.","You must agree to the terms of service."
"Customweb_OPPCw::You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings.","You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings."
"Customweb_OPPCw::You will be redirect to the order confirmation page.","Se le redirige a la página de confirmación del pedido."
"Customweb_OPPCw::You've reached the maximum amount of Afterpay paments.","You've reached the maximum amount of Afterpay paments."
"Customweb_OPPCw::Your CoC number is incorrect.","Your CoC number is incorrect."
"Customweb_OPPCw::Your address is invalid or incomplete.","Your address is invalid or incomplete."
"Customweb_OPPCw::Your age is below 18.","Your age is below 18."
"Customweb_OPPCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Su navegador no permite la ejecución de JavaScript. Por favor, active JavaScript en su navegador y vuelva a cargar esta página."
"Customweb_OPPCw::Your email address is invalid or incomplete.","Your email address is invalid or incomplete."
"Customweb_OPPCw::Your order amount is too high.","Your order amount is too high."
"Customweb_OPPCw::Your order amount is too low.","Your order amount is too low."
"Customweb_OPPCw::Your request to use Afterpay has been declined.","Your request to use Afterpay has been declined."
"Customweb_OPPCw::OPPCw Aliases","OPPCw Alias"
"Customweb_OPPCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_OPPCw::Open Payment Platform Aliases","Open Payment Platform Aliases"
"Customweb_OPPCw::Open Payment Platform Error","Open Payment Platform Error"
"Customweb_OPPCw::Open Payment Platform Parameters","Open Payment Platform Parameters"
"Customweb_OPPCw::Open Payment Platform Refund Items","Open Payment Platform Refund Items"
"Customweb_OPPCw::Open Payment Platform Section","Open Payment Platform Section"
"Customweb_OPPCw::Open Payment Platform Transactions","Open Payment Platform Transactions"
"Customweb_OPPCw::Open Payment Platform Unique ID","Open Payment Platform Unique ID"
"Customweb_OPPCw::Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail.","Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail."
"Customweb_OPPCw::Open Payment Platform:","Open Payment Platform:"
"Customweb_OPPCw::Open Payment Platform: Alias Management","Open Payment Platform: Alias Management"
"Customweb_OPPCw::customweb ltd","customweb ltd"
"Customweb_OPPCw::http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1","http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1"
"Customweb_OPPCw::md5","md5"
"Customweb_OPPCw::no","no"
"Customweb_OPPCw::or","or"
"Customweb_OPPCw::sha2-384","sha2-384"
"Customweb_OPPCw::yes","yes"
