"Customweb_OPPCw::* Required Fields","* Erforderliche Felder"
"Customweb_OPPCw::The parent transaction reference already exists.","The parent transaction reference already exists."
"Customweb_OPPCw::The parent transaction reference is invalid.","The parent transaction reference is invalid."
"Customweb_OPPCw::The parent transaction reference is missing.","The parent transaction reference is missing."
"Customweb_OPPCw::The password is provided by Open Payment Platform.","The password is provided by Open Payment Platform."
"Customweb_OPPCw::The payment could not be authorized, because it is not certain.","The payment could not be authorized, because it is not certain."
"Customweb_OPPCw::The payment form will be displayed after submitting the order.","Das Bezahlformular wird nach dem Absenden der Bestellung angezeigt."
"Customweb_OPPCw::The payment has been accepted.","Die Zahlung wurde akzeptiert"
"Customweb_OPPCw::The payment has been denied.","Die Zahlung wurde abgelehnt."
"Customweb_OPPCw::The payment method !paymentMethod does not support recurring payment.","The payment method !paymentMethod does not support recurring payment."
"Customweb_OPPCw::The payment method !paymentMethodName does not support the currency '!currency'.","Die Zahlweise '!paymentMethodName' unterstützt die Währung '!currency' nicht."
"Customweb_OPPCw::The payment method !paymentMethodName is not available in your country ('!country').","Die Zahlungsmethode '!paymentMethodName' ist in Ihrem Land ('!country') nicht verfügbar."
"Customweb_OPPCw::The payment method '!paymentMethod' cannot be used for Moto payments.","The payment method '!paymentMethod' cannot be used for Moto payments."
"Customweb_OPPCw::The payment update has been made.","Das Zahlungsupdate wurde ausgeführt."
"Customweb_OPPCw::The portal id provided by Open Payment Platform","Die von Open Payment Platform angegebene Portal ID."
"Customweb_OPPCw::The postal code is invalid.","The postal code is invalid."
"Customweb_OPPCw::The postal code is missing.","The postal code is missing."
"Customweb_OPPCw::The product quantity is invalid.","The product quantity is invalid."
"Customweb_OPPCw::The product quantity is missing.","The product quantity is missing."
"Customweb_OPPCw::The provided signature does not match with the one calculated.","Die eingegeben Signatur stimmt nicht mit der berechneten Signatur überein."
"Customweb_OPPCw::The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Der Rang (PBX_RANG), wie er im Live Backoffice von Open Payment Platform_ angegeben ist. Er muss eine zweistellige Nummer sein. Im Backoffice wird er eventuell als dreistelliger Wert angezeigt. Sie müssen die erste Ziffer streichen."
"Customweb_OPPCw::The refund announcement failed.","Die Refund Ankündigung ist fehlgeschlagen."
"Customweb_OPPCw::The refund failed due to an unkown reason.","The refund failed due to an unkown reason."
"Customweb_OPPCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der zurückerstattete Artikel mit der Bestandseinheit @sku hat einen höheren Betrag (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"Customweb_OPPCw::The refund item with SKU '@sku' is not present in the original order.","Der zurückerstattete Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht enthalten."
"Customweb_OPPCw::The refunding could not be conducted. Error code: !error.","Die Rückerstattung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_OPPCw::The response seems not to be valid.","The response seems not to be valid."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","Die zweite von drei möglichen Zeilen, die im Account und auf Kreditkartenstatements angezeigt wird. Diese Zeile kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden nicht mehr angezeigt."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","Die erste von drei möglichen Zeilen, die auf Kontoauszügen oder Kreditkartenabrechnungen angezeigt werden kann. Sie kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden abgeschnitten. Der Platzhalter  {reference_id} kann benutzt werden, um die Referenznummer auf dem Kontoauszug anzuzeigen."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on .","Der Secret Key wird im Open Payment Platform backend festgelegt, unter ."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on backendUrlLive____.","Der Secret Key im Open Payment Platform Backend auf backendUrlLive____."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform.","The sender ID is provided by Open Payment Platform."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization.","The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization."
"Customweb_OPPCw::The shopping cart has been altered!","Der Warenkorb wurde verändert!"
"Customweb_OPPCw::The signature could not be verified.","Die Signatur konnte nicht verifiziert werden."
"Customweb_OPPCw::The site id (PBX_RANG) as defined in the backoffice of Open Payment Platform.","Die Site ID (PBX_RANG) wie Sie im Backoffice von Open Payment Platform angegeben ist."
"Customweb_OPPCw::The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'.","Der Stil des Input-Feld benutzt inline CSS. Dieser Stil wird verwendet, wenn 'Use Style' auf 'Inline Style' gesetzt ist."
"Customweb_OPPCw::The sub account id provided by Open Payment Platform","Die von Open Payment Platform angegebene Sub Account ID."
"Customweb_OPPCw::The surname is invalid.","The surname is invalid."
"Customweb_OPPCw::The surname is missing.","The surname is missing."
"Customweb_OPPCw::The telephone number is invalid.","The telephone number is invalid."
"Customweb_OPPCw::The telephone number is missing.","The telephone number is missing."
"Customweb_OPPCw::The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "").","Der Text, der auf der Rechnungslegung und Kreditkartenabrechnungen steht . Dieser wird bei 27 Zeichen abgeschnitten, um eine neue Zeile zu erstellen. Es ist nicht möglich, eine neue Linie zu forcieren, indem man z.B spaces ("" "") verwendet."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","Die dritte von drei möglichen Zeilen, die im Account und auf Kreditkartenstatements angezeigt wird. Diese Zeile kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden nicht mehr angezeigt."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","Die dritte von drei möglichen Zeilen, die auf Kontoauszügen oder Kreditkartenabrechnungen angezeigt werden kann. Sie kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden abgeschnitten. Der Platzhalter  {reference_id} kann benutzt werden, um die Referenznummer auf dem Kontoauszug anzuzeigen."
"Customweb_OPPCw::The total order amount is invalid.","The total order amount is invalid."
"Customweb_OPPCw::The total order amount is missing.","The total order amount is missing."
"Customweb_OPPCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Der Totale gutzuschreibende Betrag von '!totalRefundedAmount' kann nicht grösser sein als der verbuchte Betrag von '!capturedAmount'."
"Customweb_OPPCw::The transaction cannot be cancelled online.","Die Transaktion kann nicht online storniert werden."
"Customweb_OPPCw::The transaction cannot be captured online.","Die Transaktion kann nicht online erfasst werden."
"Customweb_OPPCw::The transaction cannot be refunded online.","Die Transaktion kann nicht online zurückerstattet werden."
"Customweb_OPPCw::The transaction failed due to an unknown reason.","The transaction failed due to an unknown reason."
"Customweb_OPPCw::The transaction failed with error code !code.","Die Transaktion ist fehlgeschlagen. Fehlermeldung: !code"
"Customweb_OPPCw::The transaction is only executed in the test system. The goods should not be delivered.","Die Transaktion wird nur im Testsystem durchgeführt. Die Waren sollen nicht geliefert werden."
"Customweb_OPPCw::The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID).","The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID)."
"Customweb_OPPCw::The transaction was cancelled by the user.","Die Transaktion wurde vom Nutzer abgebrochen."
"Customweb_OPPCw::The unit price is invalid.","The unit price is invalid."
"Customweb_OPPCw::The unit price is missing.","The unit price is missing."
"Customweb_OPPCw::The user ID is provided by Open Payment Platform.","The user ID is provided by Open Payment Platform."
"Customweb_OPPCw::The validation at step authorize is not supported for ajax and hidden authorization","Die Validierung in der Autorisierungsphase wird für Ajax und Hidden Authorization nicht unterstützt."
"Customweb_OPPCw::The whole transaction is cancelled.","Die gesamte Transaktion wurde storniert."
"Customweb_OPPCw::The width of the iframe containing the input field.","Die Breite des iFame, welches das Input-Feld beinhaltet."
"Customweb_OPPCw::There has been a problem during the processing of your payment.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten."
"Customweb_OPPCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten. Bitte kontaktieren Sie den Shop-Betreiber um sicherzugehen, dass die Bestellung erfolgreich erfasst wurde."
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Es besteht ein Problem mit Ihrer Lizenz. Bitte kontaktieren Sie uns (www.sellxed.com/support). Reason: %1"
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_OPPCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Es ist bereits ein Kunde mit dieser E-Mail-Adresse registriert. Bitte mit dieser E-Mail-Adresse anmelden, oder eine andere E-Mail-Adresse eingeben um ihren Account zu registrieren."
"Customweb_OPPCw::There is some information missing.","There is some information missing."
"Customweb_OPPCw::There seems to be a problem with the Open Payment Platform module.","Es scheint ein Problem mit dem Open Payment Platform-Modul  zu geben."
"Customweb_OPPCw::There was an error validating the login and password.","Ein Fehler ist bei der Validierung der Logindaten und des Passworts aufgetreten."
"Customweb_OPPCw::This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL.","Diese URL muss im Open Payment Platform Backend als TransactionStatus URL eingegeben werden."
"Customweb_OPPCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieser Account ist nicht verifiziert. <a href=""%s"">Klicken Sie hier</a> um die Bestätigungsemail erneut zu versenden."
"Customweb_OPPCw::This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","Hier werden die wichtigsten Installationsschritte erläutert. Bitte befolgen Sie die einzelnen Punkte der Checkliste genau. Nur so kann ein sicherer Einsatz unter Einhaltung aller Sicherheitsregularien gewährleistet werden."
"Customweb_OPPCw::This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip."
"Customweb_OPPCw::This message is returned by Open Payment Platform for this transaction.","This message is returned by Open Payment Platform for this transaction."
"Customweb_OPPCw::This message is shown to the customer, when he fails to pass the solvency check.","Diese Nachricht wird dem Kunden angezeigt, wenn dieser die Bonitätsprüfung nicht besteht."
"Customweb_OPPCw::This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable.","Diese Nachricht wird dem Kunden angezeigt, wenn das System von Open Payment Platform nicht erreichbar ist."
"Customweb_OPPCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account.","Dieses Passwort wird für wiederkehrende Zahlungen sowie für den Alias Manager und die Service Autorisierung benutzt. Dies ist das Passwort für den Open Payment Platform Account."
"Customweb_OPPCw::This payment method is unavailable.","Diese Zahlungsmethode ist nicht verfügbar."
"Customweb_OPPCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Anhand dieser Einstellung können Sie die 3D Secure Überprüfung aktivieren bzw. deaktivieren. Bitte fragen Sie bei Paybox an, ob sie 3D Secure deaktivieren dürfen. Diese Einstellung ist nur relevant, wenn Sie Payment Page benutzen."
"Customweb_OPPCw::This status is set, when the payment was successfull and it is authorized.","Dieser Status wird vergeben, wenn eine Zahlung erfolgreich war und autorisiert wurde."
"Customweb_OPPCw::This transaction is already closed for further captures.","Diese Transaktion ist bereits geschlossen und es können keine weiteren Buchungen vorgenommen werden."
"Customweb_OPPCw::This transaction is already closed for further refunds.","Diese Transaktion wurde für weitere Gutschriften bereits geschlossen."
"Customweb_OPPCw::This transaction no longer exists.","Diese Transaktion existiert nicht mehr."
"Customweb_OPPCw::Timeout for pending payments (min)","Timeout für ausstehende Zahlungen (Min.)"
"Customweb_OPPCw::Titel","Titel"
"Customweb_OPPCw::Title","Titel"
"Customweb_OPPCw::Title of the payment method","Name der Zahlungsmethode"
"Customweb_OPPCw::To use the Klarna payment method, please specify the Klarna merchant id (EID).","To use the Klarna payment method, please specify the Klarna merchant id (EID)."
"Customweb_OPPCw::To use the Klarna payment method, the billing and shipping addresses must not differ.","To use the Klarna payment method, the billing and shipping addresses must not differ."
"Customweb_OPPCw::To use this payment method you need to add a state to your address.","To use this payment method you need to add a state to your address."
"Customweb_OPPCw::Total","Total"
"Customweb_OPPCw::Total Shipping Charges","Total Lieferkosten"
"Customweb_OPPCw::Track order history","Getätigte Bestellungen verfolgen"
"Customweb_OPPCw::Transaction","Transaktion"
"Customweb_OPPCw::Transaction Authorized","Transaktion autorisiert"
"Customweb_OPPCw::Transaction Cancelled","Transaktion storniert"
"Customweb_OPPCw::Transaction Captured","Transaktion verbucht"
"Customweb_OPPCw::Transaction History","Transaktionsverlauf"
"Customweb_OPPCw::Transaction Id","Transaktions-ID"
"Customweb_OPPCw::Transaction Paid","Transaktion bezahlt"
"Customweb_OPPCw::Transaction Uncertain","Transaktion ist unsicher"
"Customweb_OPPCw::Transaction Updates","Transaktionsupdates"
"Customweb_OPPCw::Transaction cancelled successfully","Die Transaktion wurde erfolgreich abgebrochen."
"Customweb_OPPCw::Transaction captured successfully","Die Transaktoin wurde erfolgreich verbucht."
"Customweb_OPPCw::Transaction failed with an unkown reason.","Transaktion fehlgeschlagen aufgrund eines unbekannten Grundes."
"Customweb_OPPCw::Transaction failed with code @code and message @message.","Die Transaktion ist mit dem Code @code und der Mitteilung @message fehlgeschlagen."
"Customweb_OPPCw::Transaction failed with code @code.","Die Transaktion mit dem Code @code ist fehlgeschlagen."
"Customweb_OPPCw::Transaction history","Transaktionsübersicht"
"Customweb_OPPCw::Transaction was authorized over the deferred authorization mechanism.","Die Transaktion wurde über den verzägerten Autorisierungsmechanismus autorisiert."
"Customweb_OPPCw::TransactionStatus URL","Transaction Status URL"
"Customweb_OPPCw::Transactions","Transaktionen"
"Customweb_OPPCw::Unable to save the invoice.","Die Rechnung konnte nicht gespeichert werden."
"Customweb_OPPCw::Uncertain Status","Unsicherer Status"
"Customweb_OPPCw::Uncertain scoring","Unbekannte Beurteilung"
"Customweb_OPPCw::Uncertain transactions","Unsichere Transaktionen"
"Customweb_OPPCw::Unexpected transaction context type.","Unerwarteter Transaktionstyp"
"Customweb_OPPCw::Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order.","Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order."
"Customweb_OPPCw::United Kingdom","United Kingdom"
"Customweb_OPPCw::Unknown error occurred while processing your request.","Während Ihre Anfrage bearbeitet wurde ist ein unbekannter Fehler aufgetreten."
"Customweb_OPPCw::Update","Update"
"Customweb_OPPCw::Update Qty's","Anzahl anpassen"
"Customweb_OPPCw::Update interval for payments","Update Intervall für Zahlungen"
"Customweb_OPPCw::Use Base Currency","Basiswährung verwenden"
"Customweb_OPPCw::Use Default","Standardeinstellungen benutzen"
"Customweb_OPPCw::Use Style","Style benutzen"
"Customweb_OPPCw::Use base currency","Zahlung in der Standard Währung setteln."
"Customweb_OPPCw::User ID","User ID"
"Customweb_OPPCw::User Id","User Id"
"Customweb_OPPCw::User Password","User Password"
"Customweb_OPPCw::V PAY","V PAY"
"Customweb_OPPCw::VISA","VISA"
"Customweb_OPPCw::VISA (Debit)","VISA (Debit)"
"Customweb_OPPCw::VISA Electron","VISA Electron"
"Customweb_OPPCw::Validation","Validierung"
"Customweb_OPPCw::Validation: The amounts do not match.","Validation: The amounts do not match."
"Customweb_OPPCw::Validation: The currencies do not match.","Validation: The currencies do not match."
"Customweb_OPPCw::Validation: The payment brands do not match.","Validation: The payment brands do not match."
"Customweb_OPPCw::Validation: The payment types do not match.","Validation: The payment types do not match."
"Customweb_OPPCw::Version","Version"
"Customweb_OPPCw::Version 1 (Classic)","Version 1 (Classic)"
"Customweb_OPPCw::Version 2 (PCI DSS SAQ A)","Version 2 (PCI DSS SAQ A)"
"Customweb_OPPCw::View","Anzeigen"
"Customweb_OPPCw::Visa","VISA"
"Customweb_OPPCw::Wait On Success Page","Auf der Success Seite warten"
"Customweb_OPPCw::Waiting for bank","Waiting for bank"
"Customweb_OPPCw::Waiting for client payment","Waiting for client payment"
"Customweb_OPPCw::Waiting for risk management","Waiting for risk management"
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order."
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order."
"Customweb_OPPCw::We cannot get the transaction instance.","Wir können keine Transaktions-Instanz laden."
"Customweb_OPPCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Es gibt ein Problem mit Ihrem Zahlungsmodul. Für mehr Informationen, besuchen Sie für die Informationsseite des Plugins."
"Customweb_OPPCw::Webhook Secret Key","Webhook Secret Key"
"Customweb_OPPCw::Webhook URL","Webhook URL"
"Customweb_OPPCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Wenn der Shop nicht erreichbar ist (Netzwerk- Serverausfall o.ä.) während das Feedback von  Open Payment Platform gesendet wird, wird der Transaktionsstatus nicht aktualisiert. Daher wird keine Bestätigungsmail für die Bestellung verwand und die Bestellung hat noch nicht den Status ""bezahlt"". Indem Sie Transaktionsupdates aktivieren, können solche Transaktionen über einen direkten Link aktualisiert werden. Um diesen Service zu nutzen, muss der Update Service aktiviert sein und der API Nutzername sowie das Passwort müssen festgelegt sein."
"Customweb_OPPCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Beim externen Checkout mit Adressübergabe hat der Kunde nach der Rückkehr aus dem Wallet die Möglichkeit sich einzuloggen (als gast, ein Konto erstellen oder mit den bestehenden Kundenkonto einloggen). Alternativ können Sie den Kunden zwingen immer als Gastkunde auszuchecken. In diesem Fall muss aber in Magento Gast Checkout als Option aktiviert sein."
"Customweb_OPPCw::Wrapper for encrypted notifcation","Wrapper for encrypted notifcation"
"Customweb_OPPCw::Year","Jahr"
"Customweb_OPPCw::Yellow","Gelb"
"Customweb_OPPCw::Yes","Ja"
"Customweb_OPPCw::Yes, use images for the brand selection.","Logos für die Auswahl des Kartenanbieters benutzen."
"Customweb_OPPCw::You can allow the customers to manage/delete their aliases in the their account.","Sie können Ihren Kunden gestatten ihre Aliasse auf ihrem Konto zu verwalten/löschen."
"Customweb_OPPCw::You can change this brand code, if your PSP supports different countries for this payment method","You can change this brand code, if your PSP supports different countries for this payment method"
"Customweb_OPPCw::You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks.","You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks."
"Customweb_OPPCw::You can decide on the order status new orders should have after they are processed successfully.","Definieren Sie den Bestellstatus für Bestellungen, welche erfolgreich verarbeitet wurden."
"Customweb_OPPCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Definieren Sie den Bestellstatus für Bestellungen mit einer unisicheren Autorisierung."
"Customweb_OPPCw::You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line.","You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line."
"Customweb_OPPCw::You can restrict the available countries. If no country is selected all available will be shown.","You can restrict the available countries. If no country is selected all available will be shown."
"Customweb_OPPCw::You can specify the order status for new orders that have an uncertain authorisation status.","Sie können den Status von Bestellungen mit unsicherem Autorisationsstatus definieren."
"Customweb_OPPCw::You can specify the order status for orders that are approved after being in a uncertain state.","You can specify the order status for orders that are approved after being in a uncertain state."
"Customweb_OPPCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Sie können den Status von Bestellungen definieren, die entwerder direkt anch der Bestellung oder manuell im Backend verbucht werden."
"Customweb_OPPCw::You can specify the order status for orders that are denied after being in a uncertain state.","You can specify the order status for orders that are denied after being in a uncertain state."
"Customweb_OPPCw::You can specify the order status when an order is cancelled.","Sie können den Status von abgebrochenen Bestellungen definieren."
"Customweb_OPPCw::You can specify the secret key during the setup of the webhook.","You can specify the secret key during the setup of the webhook."
"Customweb_OPPCw::You can switch between the different environments, by selecting the corresponding operation mode.","You can switch between the different environments, by selecting the corresponding operation mode."
"Customweb_OPPCw::You can switch between the different test modes.","You can switch between the different test modes."
"Customweb_OPPCw::You can use a custom JavaScript file on the payment page and iframe authorization.","You can use a custom JavaScript file on the payment page and iframe authorization."
"Customweb_OPPCw::You can use a custom cancel button image for the payment page and iframe authorization.","You can use a custom cancel button image for the payment page and iframe authorization."
"Customweb_OPPCw::You can use a custom css file on the payment page and iframe authorization.","You can use a custom css file on the payment page and iframe authorization."
"Customweb_OPPCw::You can use a custom pay button image for the payment page and iframe authorization.","You can use a custom pay button image for the payment page and iframe authorization."
"Customweb_OPPCw::You created the order.","Sie haben die Bestellung aufgegeben."
"Customweb_OPPCw::You do not specify yet a user id. Please specify in the main configurations a user id.","You do not specify yet a user id. Please specify in the main configurations a user id."
"Customweb_OPPCw::You do not specify yet a user password. Please specify in the main configurations a user password.","You do not specify yet a user password. Please specify in the main configurations a user password."
"Customweb_OPPCw::You do not specify yet the global entity ID. Please specify in the main configurations a global entity id.","You do not specify yet the global entity ID. Please specify in the main configurations a global entity id."
"Customweb_OPPCw::You have no stored aliases.","Sie haben keine gespeicherten Aliasse."
"Customweb_OPPCw::You have to enter a card number.","Sie müssen eine Kartennummer eingeben"
"Customweb_OPPCw::You have to enter bank code of your bank.","Sie müssen den Bankcode Ihrer Bank eingeben"
"Customweb_OPPCw::You have to enter commercial number of you company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Customweb_OPPCw::You have to enter either the CVC code or the issue number of your card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"Customweb_OPPCw::You have to enter sales tax number of you company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Customweb_OPPCw::You have to enter sales tax number of your company.","Bitte geben Sie die Umsatzsteuer-Identifikationsnummer ein."
"Customweb_OPPCw::You have to enter the BIC.","Sie müssen die BIC eingeben."
"Customweb_OPPCw::You have to enter the CVC code from your card.","Sie müssen den CVC Ihrer Karte eingeben."
"Customweb_OPPCw::You have to enter the IBAN.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"Customweb_OPPCw::You have to enter the account holder name on the card.","Sie müssen den Kontoinhaber angeben."
"Customweb_OPPCw::You have to enter the account holder name.","Bitte geben Sie den Kontoinhaber an."
"Customweb_OPPCw::You have to enter the card holder name on the card.","Bitte geben Sie den Namen des Karteninhabers ein"
"Customweb_OPPCw::You have to enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Customweb_OPPCw::You have to enter the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Customweb_OPPCw::You have to enter the name of your bank.","Sie müssen den Namen Ihrer Bank eingeben."
"Customweb_OPPCw::You have to enter your IBAN Number.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"Customweb_OPPCw::You have to enter your bank account number.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_OPPCw::You have to enter your gender.","You have to enter your gender."
"Customweb_OPPCw::You have to enter your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Customweb_OPPCw::You may choose one of the cards you paid before on this site.","Sie können aus einer der bereits gespeicherten Karten auswählen."
"Customweb_OPPCw::You may choose one of your stored payment details.","Wählen Sie eine der gespeicherten Zahlungsinformationen zur Zahlung."
"Customweb_OPPCw::You must accept the terms of the mandate.","Sie müssen die Bedingungen des Mandats akzeptieren."
"Customweb_OPPCw::You must agree to the presented mandate text.","Sie müssen dem vorgelegten Mandatstext zustimmen."
"Customweb_OPPCw::You must agree to the terms of service.","Sie müssen den Nutzungsbedingungen zustimmen."
"Customweb_OPPCw::You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings.","You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings."
"Customweb_OPPCw::You will be redirect to the order confirmation page.","Sie werden zur Bestätigungsseite weitergeleitet"
"Customweb_OPPCw::You've reached the maximum amount of Afterpay paments.","You've reached the maximum amount of Afterpay paments."
"Customweb_OPPCw::Your CoC number is incorrect.","Your CoC number is incorrect."
"Customweb_OPPCw::Your address is invalid or incomplete.","Your address is invalid or incomplete."
"Customweb_OPPCw::Your age is below 18.","Your age is below 18."
"Customweb_OPPCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Ihr Browser hat keine JavaScript Unterstützung. Bitte aktivieren Sie JavaScript oder wechseln Sie den Browser."
"Customweb_OPPCw::Your email address is invalid or incomplete.","Your email address is invalid or incomplete."
"Customweb_OPPCw::Your order amount is too high.","Your order amount is too high."
"Customweb_OPPCw::Your order amount is too low.","Your order amount is too low."
"Customweb_OPPCw::Your request to use Afterpay has been declined.","Your request to use Afterpay has been declined."
"Customweb_OPPCw::OPPCw Aliases","OPPCw Alias"
"Customweb_OPPCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_OPPCw::Open Payment Platform Aliases","Open Payment Platform Aliasse"
"Customweb_OPPCw::Open Payment Platform Error","Open Payment Platform Fehler"
"Customweb_OPPCw::Open Payment Platform Parameters","Open Payment Platform Parameter"
"Customweb_OPPCw::Open Payment Platform Refund Items","Open Payment Platform Gutschriftsartikel"
"Customweb_OPPCw::Open Payment Platform Section","Open Payment Platform Sektion"
"Customweb_OPPCw::Open Payment Platform Transactions","Open Payment Platform Transaktion"
"Customweb_OPPCw::Open Payment Platform Unique ID","Open Payment Platform Unique ID"
"Customweb_OPPCw::Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail.","Open Payment Platform sendet die Rechnung zum Kunden. Diese kann entweder via E-Mail oder via Post versendet werden."
"Customweb_OPPCw::Open Payment Platform:","Open Payment Platform:"
"Customweb_OPPCw::Open Payment Platform: Alias Management","Open Payment Platform: Alias Management"
"Customweb_OPPCw::customweb ltd","customweb GmbH"
"Customweb_OPPCw::http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1","http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1"
"Customweb_OPPCw::md5","MD5"
"Customweb_OPPCw::no","Nein"
"Customweb_OPPCw::or","oder"
