"* Required Fields","* Erforderliche Felder"
"You can specify the order status for new orders that have an uncertain authorisation status.","Sie können den Status von Bestellungen mit unsicherem Autorisationsstatus definieren."
"You can specify the order status for orders that are approved after being in a uncertain state.","You can specify the order status for orders that are approved after being in a uncertain state."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Sie können den Status von Bestellungen definieren, die entwerder direkt anch der Bestellung oder manuell im Backend verbucht werden."
"You can specify the order status for orders that are denied after being in a uncertain state.","You can specify the order status for orders that are denied after being in a uncertain state."
"You can specify the order status when an order is cancelled.","Sie können den Status von abgebrochenen Bestellungen definieren."
"You can specify the secret key during the setup of the webhook.","You can specify the secret key during the setup of the webhook."
"You can switch between the different environments, by selecting the corresponding operation mode.","You can switch between the different environments, by selecting the corresponding operation mode."
"You can switch between the different test modes.","You can switch between the different test modes."
"You can use a custom JavaScript file on the payment page and iframe authorization.","You can use a custom JavaScript file on the payment page and iframe authorization."
"You can use a custom cancel button image for the payment page and iframe authorization.","You can use a custom cancel button image for the payment page and iframe authorization."
"You can use a custom css file on the payment page and iframe authorization.","You can use a custom css file on the payment page and iframe authorization."
"You can use a custom pay button image for the payment page and iframe authorization.","You can use a custom pay button image for the payment page and iframe authorization."
"You created the order.","Sie haben die Bestellung aufgegeben."
"You do not specify yet a user id. Please specify in the main configurations a user id.","You do not specify yet a user id. Please specify in the main configurations a user id."
"You do not specify yet a user password. Please specify in the main configurations a user password.","You do not specify yet a user password. Please specify in the main configurations a user password."
"You do not specify yet the global entity ID. Please specify in the main configurations a global entity id.","You do not specify yet the global entity ID. Please specify in the main configurations a global entity id."
"You have no stored aliases.","Sie haben keine gespeicherten Aliasse."
"You have to enter a card number.","Sie müssen eine Kartennummer eingeben"
"You have to enter bank code of your bank.","Sie müssen den Bankcode Ihrer Bank eingeben"
"You have to enter commercial number of you company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"You have to enter either the CVC code or the issue number of your card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"You have to enter sales tax number of you company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"You have to enter sales tax number of your company.","Bitte geben Sie die Umsatzsteuer-Identifikationsnummer ein."
"You have to enter the BIC.","Sie müssen die BIC eingeben."
"You have to enter the CVC code from your card.","Sie müssen den CVC Ihrer Karte eingeben."
"You have to enter the IBAN.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter the account holder name on the card.","Sie müssen den Kontoinhaber angeben."
"You have to enter the account holder name.","Bitte geben Sie den Kontoinhaber an."
"You have to enter the card holder name on the card.","Bitte geben Sie den Namen des Karteninhabers ein"
"You have to enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"You have to enter the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"You have to enter the name of your bank.","Sie müssen den Namen Ihrer Bank eingeben."
"You have to enter your IBAN Number.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter your bank account number.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"You have to enter your gender.","You have to enter your gender."
"You have to enter your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"You may choose one of the cards you paid before on this site.","Sie können aus einer der bereits gespeicherten Karten auswählen."
"You may choose one of your stored payment details.","Wählen Sie eine der gespeicherten Zahlungsinformationen zur Zahlung."
"You must accept the terms of the mandate.","Sie müssen die Bedingungen des Mandats akzeptieren."
"You must agree to the presented mandate text.","Sie müssen dem vorgelegten Mandatstext zustimmen."
"You must agree to the terms of service.","Sie müssen den Nutzungsbedingungen zustimmen."
"You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings.","You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings."
"You will be redirect to the order confirmation page.","Sie werden zur Bestätigungsseite weitergeleitet"
"You've reached the maximum amount of Afterpay paments.","You've reached the maximum amount of Afterpay paments."
"Your CoC number is incorrect.","Your CoC number is incorrect."
"Your address is invalid or incomplete.","Your address is invalid or incomplete."
"Your age is below 18.","Your age is below 18."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Ihr Browser hat keine JavaScript Unterstützung. Bitte aktivieren Sie JavaScript oder wechseln Sie den Browser."
"Your email address is invalid or incomplete.","Your email address is invalid or incomplete."
"Your order amount is too high.","Your order amount is too high."
"Your order amount is too low.","Your order amount is too low."
"Your request to use Afterpay has been declined.","Your request to use Afterpay has been declined."
"OPPCw Aliases","OPPCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Open Payment Platform Aliases","Open Payment Platform Aliasse"
"Open Payment Platform Error","Open Payment Platform Fehler"
"Open Payment Platform Parameters","Open Payment Platform Parameter"
"Open Payment Platform Refund Items","Open Payment Platform Gutschriftsartikel"
"Open Payment Platform Section","Open Payment Platform Sektion"
"Open Payment Platform Transactions","Open Payment Platform Transaktion"
"Open Payment Platform Unique ID","Open Payment Platform Unique ID"
"Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail.","Open Payment Platform sendet die Rechnung zum Kunden. Diese kann entweder via E-Mail oder via Post versendet werden."
"Open Payment Platform:","Open Payment Platform:"
"Open Payment Platform: Alias Management","Open Payment Platform: Alias Management"
"customweb ltd","customweb GmbH"
"http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1","http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1"
"md5","MD5"
"no","Nein"
"or","oder"
"sha2-384","sha2-384"
"yes","Ja"
