"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable.","This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable."
"Customweb_OPPCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account."
"Customweb_OPPCw::This payment method is unavailable.","This payment method is unavailable."
"Customweb_OPPCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_OPPCw::This status is set, when the payment was successfull and it is authorized.","Deze status wordt ingesteld, wanneer de betaling succesvol was en het is toegestaan."
"Customweb_OPPCw::This transaction is already closed for further captures.","Deze transactie is gesloten en geen verdere gegevens worden gemaakt."
"Customweb_OPPCw::This transaction is already closed for further refunds.","Deze transactie werd gesloten voor meer credits."
"Customweb_OPPCw::This transaction no longer exists.","This transaction no longer exists."
"Customweb_OPPCw::Timeout for pending payments (min)","Time-out voor lopende betalingen (min)"
"Customweb_OPPCw::Titel","Titel"
"Customweb_OPPCw::Title","Title"
"Customweb_OPPCw::Title of the payment method","Naam van de betalingsmethode"
"Customweb_OPPCw::To use the Klarna payment method, please specify the Klarna merchant id (EID).","To use the Klarna payment method, please specify the Klarna merchant id (EID)."
"Customweb_OPPCw::To use the Klarna payment method, the billing and shipping addresses must not differ.","To use the Klarna payment method, the billing and shipping addresses must not differ."
"Customweb_OPPCw::To use this payment method you need to add a state to your address.","Om deze betaalmethode gebruiken wat je nodig hebt om een land toe te voegen aan uw adres."
"Customweb_OPPCw::Total","Totaal"
"Customweb_OPPCw::Total Shipping Charges","Totale verzendkosten"
"Customweb_OPPCw::Track order history","Track order history"
"Customweb_OPPCw::Transaction","Transaction"
"Customweb_OPPCw::Transaction Authorized","Geautoriseerde transactie"
"Customweb_OPPCw::Transaction Cancelled","Transactie geannuleerd"
"Customweb_OPPCw::Transaction Captured","Transactie opgenomen"
"Customweb_OPPCw::Transaction History","Transaction History"
"Customweb_OPPCw::Transaction Id","Transaction Id"
"Customweb_OPPCw::Transaction Paid","Transactie betaald"
"Customweb_OPPCw::Transaction Uncertain","Transactie is onzeker"
"Customweb_OPPCw::Transaction Updates","Transaction Updates"
"Customweb_OPPCw::Transaction cancelled successfully","Transactie met succes geannuleerd"
"Customweb_OPPCw::Transaction captured successfully","Transactie met succes gevangen"
"Customweb_OPPCw::Transaction failed with an unkown reason.","Transaction failed with an unkown reason."
"Customweb_OPPCw::Transaction failed with code @code and message @message.","Transaction failed with code @code and message @message."
"Customweb_OPPCw::Transaction failed with code @code.","Transaction failed with code @code."
"Customweb_OPPCw::Transaction history","Overzicht transactie"
"Customweb_OPPCw::Transaction was authorized over the deferred authorization mechanism.","Transactie werd toegestaan ​​over de uitgestelde autorisatiemechanisme."
"Customweb_OPPCw::TransactionStatus URL","TransactionStatus URL"
"Customweb_OPPCw::Transactions","Transactions"
"Customweb_OPPCw::Unable to save the invoice.","Niet in staat om de factuur op te slaan."
"Customweb_OPPCw::Uncertain Status","onzekere status"
"Customweb_OPPCw::Uncertain scoring","Uncertain scoring"
"Customweb_OPPCw::Uncertain transactions","Onzekere transacties"
"Customweb_OPPCw::Unexpected transaction context type.","Unexpected transaction context type."
"Customweb_OPPCw::Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order.","Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order."
"Customweb_OPPCw::United Kingdom","United Kingdom"
"Customweb_OPPCw::Unknown error occurred while processing your request.","Unknown error occurred while processing your request."
"Customweb_OPPCw::Update","Update"
"Customweb_OPPCw::Update Qty's","Hoeveelheden update"
"Customweb_OPPCw::Update interval for payments","Update Intervall voor betalingen"
"Customweb_OPPCw::Use Base Currency","Use Base Currency"
"Customweb_OPPCw::Use Default","Gebruik standaardinstellingen"
"Customweb_OPPCw::Use Style","Use Style"
"Customweb_OPPCw::Use base currency","Use base currency"
"Customweb_OPPCw::User ID","User ID"
"Customweb_OPPCw::User Id","User ID"
"Customweb_OPPCw::User Password","Gebruiker Wachtwoord"
"Customweb_OPPCw::V PAY","V PAY"
"Customweb_OPPCw::VISA","VISA"
"Customweb_OPPCw::VISA (Debit)","VISA (Debit)"
"Customweb_OPPCw::VISA Electron","VISA Electron"
"Customweb_OPPCw::Validation","Bevestiging"
"Customweb_OPPCw::Validation: The amounts do not match.","Validation: The amounts do not match."
"Customweb_OPPCw::Validation: The currencies do not match.","Validation: The currencies do not match."
"Customweb_OPPCw::Validation: The payment brands do not match.","Validation: The payment brands do not match."
"Customweb_OPPCw::Validation: The payment types do not match.","Validation: The payment types do not match."
"Customweb_OPPCw::Version","Version"
"Customweb_OPPCw::Version 1 (Classic)","Version 1 (Classic)"
"Customweb_OPPCw::Version 2 (PCI DSS SAQ A)","Version 2 (PCI DSS SAQ A)"
"Customweb_OPPCw::View","View"
"Customweb_OPPCw::Visa","Visa"
"Customweb_OPPCw::Wait On Success Page","Wait On Success Page"
"Customweb_OPPCw::Waiting for bank","Wachten op de bank"
"Customweb_OPPCw::Waiting for client payment","Wachten op opdrachtgever betaling"
"Customweb_OPPCw::Waiting for risk management","Wachten op risicomanagement"
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order.","Op dit moment is het helaas niet mogelijk om je bestelling achteraf te betalen met AfterPay. Dit kan verschillende redenen hebben. Voor meer informatie kun je contact opnemen met de klantenservice van AfterPay of ga naar https://www.afterpay.nl/nl/consumenten/vraag-en-antwoord/. We adviseren je om je bestelling met een andere betaalmethode af te ronden."
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order.","Helaas is een van de velden onjuist ingevuld. Controleer nogmaals het gebruikte adres, email-adres of telefoon nummer op juistheid of gebruik een andere betaalmethode om je bestelling mee af te ronden."
"Customweb_OPPCw::We cannot get the transaction instance.","We cannot get the transaction instance."
"Customweb_OPPCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","We ervaren een probleem met uw betaling extensie van sellxed. Voor meer informatie kunt u terecht op de configuratie pagina van de plugin."
"Customweb_OPPCw::Webhook Secret Key","Webhook Secret Key"
"Customweb_OPPCw::Webhook URL","Webhook URL"
"Customweb_OPPCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_OPPCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento."
"Customweb_OPPCw::Wrapper for encrypted notifcation","Wrapper for encrypted notifcation"
"Customweb_OPPCw::Year","Jaar"
"Customweb_OPPCw::Yellow","Yellow"
"Customweb_OPPCw::Yes","Ja"
"Customweb_OPPCw::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_OPPCw::You can allow the customers to manage/delete their aliases in the their account.","You can allow the customers to manage/delete their aliases in the their account."
"Customweb_OPPCw::You can change this brand code, if your PSP supports different countries for this payment method","You can change this brand code, if your PSP supports different countries for this payment method"
"Customweb_OPPCw::You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks.","You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks."
"Customweb_OPPCw::You can decide on the order status new orders should have after they are processed successfully.","Definiër de order status, die met succes werden verwerkt."
"Customweb_OPPCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Definiër de order status, die een onzekere status hebben."
"Customweb_OPPCw::You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line.","You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line."
"Customweb_OPPCw::You can restrict the available countries. If no country is selected all available will be shown.","You can restrict the available countries. If no country is selected all available will be shown."
"Customweb_OPPCw::You can specify the order status for new orders that have an uncertain authorisation status.","U kunt de orderstatus voor nieuwe orders die een onzeker statuut toestemming hebben geven."
"Customweb_OPPCw::You can specify the order status for orders that are approved after being in a uncertain state.","You can specify the order status for orders that are approved after being in a uncertain state."
"Customweb_OPPCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","U kunt de orderstatus voor bestellingen die zijn vastgelegd hetzij direct na de bestelling of met de hand in de backend specificeren."
"Customweb_OPPCw::You can specify the order status for orders that are denied after being in a uncertain state.","You can specify the order status for orders that are denied after being in a uncertain state."
"Customweb_OPPCw::You can specify the order status when an order is cancelled.","U kunt de status van de bestelling aangeven wanneer een bestelling wordt geannuleerd."
"Customweb_OPPCw::You can specify the secret key during the setup of the webhook.","You can specify the secret key during the setup of the webhook."
"Customweb_OPPCw::You can switch between the different environments, by selecting the corresponding operation mode.","You can switch between the different environments, by selecting the corresponding operation mode."
"Customweb_OPPCw::You can switch between the different test modes.","You can switch between the different test modes."
"Customweb_OPPCw::You can use a custom JavaScript file on the payment page and iframe authorization.","U kunt een aangepaste JavaScript-bestand te gebruiken op de Payment Page en iFrame toestemming."
"Customweb_OPPCw::You can use a custom cancel button image for the payment page and iframe authorization.","U kunt een aangepaste annuleer-knop gebruiken voor de Payment Page en iFrame toestemming."
"Customweb_OPPCw::You can use a custom css file on the payment page and iframe authorization.","U kunt een aangepaste css-bestand te gebruiken op de Payment Page en iFrame toestemming."
"Customweb_OPPCw::You can use a custom pay button image for the payment page and iframe authorization.","U kunt een aangepaste pay-knop gebruiken voor de Payment Page en iFrame toestemming."
"Customweb_OPPCw::You created the order.","You created the order."
"Customweb_OPPCw::You do not specify yet a user id. Please specify in the main configurations a user id.","You do not specify yet a user id. Please specify in the main configurations a user id."
"Customweb_OPPCw::You do not specify yet a user password. Please specify in the main configurations a user password.","You do not specify yet a user password. Please specify in the main configurations a user password."
"Customweb_OPPCw::You do not specify yet the global entity ID. Please specify in the main configurations a global entity id.","You do not specify yet the global entity ID. Please specify in the main configurations a global entity id."
"Customweb_OPPCw::You have no stored aliases.","You have no stored aliases."
"Customweb_OPPCw::You have to enter a card number.","Je moet een kaartnummer in te voeren."
"Customweb_OPPCw::You have to enter bank code of your bank.","Je moet bankcode van uw bank in te voeren."
"Customweb_OPPCw::You have to enter commercial number of you company.","Je moet commerciële aantal van jullie bedrijf in te voeren."
"Customweb_OPPCw::You have to enter either the CVC code or the issue number of your card.","Je moet ofwel de CVC-code of het nummer van afgifte van uw kaart in te voeren."
"Customweb_OPPCw::You have to enter sales tax number of you company.","Je moet omzetbelasting aantal van jullie bedrijf in te voeren."
"Customweb_OPPCw::You have to enter sales tax number of your company.","You have to enter sales tax number of your company."
"Customweb_OPPCw::You have to enter the BIC.","Je moet de BIC in te voeren."
"Customweb_OPPCw::You have to enter the CVC code from your card.","U moet de CVC uw kaart in te voeren."
"Customweb_OPPCw::You have to enter the IBAN.","Je moet de IBAN in te voeren."
"Customweb_OPPCw::You have to enter the account holder name on the card.","Je moet de naam rekeninghouder op de kaart in te voeren."
"Customweb_OPPCw::You have to enter the account holder name.","Je moet de naam van de rekeninghouder te voeren."
"Customweb_OPPCw::You have to enter the card holder name on the card.","U moet de kaarthouder in te voeren."
"Customweb_OPPCw::You have to enter the location of your bank.","Je moet de locatie van uw bank in te voeren."
"Customweb_OPPCw::You have to enter the name of the account owner.","Je moet de rekeninghouder te voeren."
"Customweb_OPPCw::You have to enter the name of your bank.","Je moet de naam van uw bank in te voeren."
"Customweb_OPPCw::You have to enter your IBAN Number.","Je moet voer uw IBAN-nummer."
"Customweb_OPPCw::You have to enter your bank account number.","Je moet het rekeningnummer van uw bankrekening in te voeren."
"Customweb_OPPCw::You have to enter your gender.","Je moet je geslacht in te voeren."
"Customweb_OPPCw::You have to enter your social security number.","U moet uw sofi-nummer in te voeren."
"Customweb_OPPCw::You may choose one of the cards you paid before on this site.","U kunt kiezen uit een eerder gebruikte kaart:"
"Customweb_OPPCw::You may choose one of your stored payment details.","You may choose one of your stored payment details."
"Customweb_OPPCw::You must accept the terms of the mandate.","You must accept the terms of the mandate."
"Customweb_OPPCw::You must agree to the presented mandate text.","You must agree to the presented mandate text."
"Customweb_OPPCw::You must agree to the terms of service.","You must agree to the terms of service."
"Customweb_OPPCw::You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings.","You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings."
"Customweb_OPPCw::You will be redirect to the order confirmation page.","U wordt omgeleid naar de pagina orderbevestiging."
"Customweb_OPPCw::You've reached the maximum amount of Afterpay paments.","Maximale aantal openstaande betalingen bereikt."
"Customweb_OPPCw::Your CoC number is incorrect.","Onjuist kvk nummer."
"Customweb_OPPCw::Your address is invalid or incomplete.","Het adres is onjuist of onvolledig."
"Customweb_OPPCw::Your age is below 18.","Leeftijd is onder de 18 jaar."
"Customweb_OPPCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Uw browser staat niet toe dat de uitvoering van JavaScript. Gelieve JavaScript te activeren in uw browser en herlaad deze pagina."
"Customweb_OPPCw::Your email address is invalid or incomplete.","Het emailadres is ongeldigd of onvolledig."
"Customweb_OPPCw::Your order amount is too high.","Het orderbedrag is te hoog."
"Customweb_OPPCw::Your order amount is too low.","Het orderbedrag is te laag."
"Customweb_OPPCw::Your request to use Afterpay has been declined.","Aanvraag komt niet in aanmerking voor AfterPay."
"Customweb_OPPCw::OPPCw Aliases","OPPCw Alias"
"Customweb_OPPCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_OPPCw::Open Payment Platform Aliases","Open Payment Platform Aliases"
"Customweb_OPPCw::Open Payment Platform Error","Fout met Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Parameters","Open Payment Platform Parameters"
"Customweb_OPPCw::Open Payment Platform Refund Items","Open Payment Platform Refund Items"
"Customweb_OPPCw::Open Payment Platform Section","Open Payment Platform Section"
"Customweb_OPPCw::Open Payment Platform Transactions","Open Payment Platform Transactions"
"Customweb_OPPCw::Open Payment Platform Unique ID","Open Payment Platform Unique ID"
"Customweb_OPPCw::Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail.","Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail."
"Customweb_OPPCw::Open Payment Platform:","Open Payment Platform:"
"Customweb_OPPCw::Open Payment Platform: Alias Management","Open Payment Platform: Alias Management"
"Customweb_OPPCw::customweb ltd","customweb ltd"
"Customweb_OPPCw::http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1","http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1"
"Customweb_OPPCw::md5","md5"
"Customweb_OPPCw::no","no"
"Customweb_OPPCw::or","or"
"Customweb_OPPCw::sha2-384","sha2-384"
"Customweb_OPPCw::yes","yes"
