"Customweb_OPPCw::* Required Fields","* Champs requis"
"Customweb_OPPCw::The width of the iframe containing the input field.","The width of the iframe containing the input field."
"Customweb_OPPCw::There has been a problem during the processing of your payment.","Il y a eu un problème lors du traitement de votre paiement."
"Customweb_OPPCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Il ya eu un problème lors du traitement de votre paiement. Veuillez contacter le propriétaire de la boutique pour vous assurer que votre commande a été placée avec succès."
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Il y a un problème avec votre licence. S'il vous plaît nous (www.sellxed.com/support) contacter. Raison: %1"
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","Il y a un problème avec votre licence. S'il vous plaît contactez-nous (www.sellxed.com/support). Raison: %s"
"Customweb_OPPCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Il y a déjà un client enregistré avec cette adresse e-mail. Connectez-vous à l'aide de cette adresse ou insérez une adresse e-mail différente pour l'enregistrer votre compte."
"Customweb_OPPCw::There is some information missing.","There is some information missing."
"Customweb_OPPCw::There seems to be a problem with the Open Payment Platform module.","Il semble avoir un problème avec le module de Open Payment Platform."
"Customweb_OPPCw::There was an error validating the login and password.","ll y eu une erreur pendant la validation du login et du mot de passe."
"Customweb_OPPCw::This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL.","This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL."
"Customweb_OPPCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte n'est pas confirmé. <a href=""%s"">Cliquez ici</a> pour renvoyer l'email de confirmation."
"Customweb_OPPCw::This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed."
"Customweb_OPPCw::This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","Ceci est une brève instruction des étapes de l'installation, qui doivent être effectuées lors de l'installation du module Open Payment Platform. Pour obtenir des instructions détaillées concernant les paramètres supplémentaires et optionnels, veuillez vous référer aux instructions dans le zip du module."
"Customweb_OPPCw::This message is returned by Open Payment Platform for this transaction.","Ce message est renvoyé par Open Payment Platform pour cette transaction."
"Customweb_OPPCw::This message is shown to the customer, when he fails to pass the solvency check.","This message is shown to the customer, when he fails to pass the solvency check."
"Customweb_OPPCw::This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable.","This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable."
"Customweb_OPPCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account.","Ce mot de passe est utilisé pour les paiements récurrents et pour la gestion des alias, ainsi que pour l'autorisation du serveur. C'est le mot de passe du compte Open Payment Platform."
"Customweb_OPPCw::This payment method is unavailable.","This payment method is unavailable."
"Customweb_OPPCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Ce setting peut être utilisé pour activer ou désactiver le contrôle 3D Secure. Veuillez vérifier avec PayBox si vous êtes autorisé à désactiver le contrôle 3D Secure. Ce paramètre aura seulement un effet que si vous utilisez la page de paiement."
"Customweb_OPPCw::This status is set, when the payment was successfull and it is authorized.","Cet état est défini, lorsque le paiement a été un succès et il est autorisé."
"Customweb_OPPCw::This transaction is already closed for further captures.","Cette transaction a déjà été fermée pour plus de comptabilisations."
"Customweb_OPPCw::This transaction is already closed for further refunds.","Cette transaction a déjà été fermée pour d'autres remboursements."
"Customweb_OPPCw::This transaction no longer exists.","Cette transaction n'existe plus."
"Customweb_OPPCw::Timeout for pending payments (min)","Timout pour les paiements en attente (min.)"
"Customweb_OPPCw::Titel","Titre"
"Customweb_OPPCw::Title","Titre"
"Customweb_OPPCw::Title of the payment method","Nom de la méthode de paiement"
"Customweb_OPPCw::To use the Klarna payment method, please specify the Klarna merchant id (EID).","To use the Klarna payment method, please specify the Klarna merchant id (EID)."
"Customweb_OPPCw::To use the Klarna payment method, the billing and shipping addresses must not differ.","Pour utiliser le mode de paiement Klarna, les adresses de facturation et d'expédition ne doivent pas différer."
"Customweb_OPPCw::To use this payment method you need to add a state to your address.","Pour utiliser ce mode de paiement, vous devez ajouter un état à votre adresse."
"Customweb_OPPCw::Total","Total"
"Customweb_OPPCw::Total Shipping Charges","Total des frais d'expédition"
"Customweb_OPPCw::Track order history","Suivi de la commande"
"Customweb_OPPCw::Transaction","Transaction"
"Customweb_OPPCw::Transaction Authorized","Transaction autorisée"
"Customweb_OPPCw::Transaction Cancelled","Transaction annulée"
"Customweb_OPPCw::Transaction Captured","Transaction comptabilisée"
"Customweb_OPPCw::Transaction History","Relevé des opérations"
"Customweb_OPPCw::Transaction Id","Transaction ID"
"Customweb_OPPCw::Transaction Paid","Transacion payée"
"Customweb_OPPCw::Transaction Uncertain","La transaction est incertaine"
"Customweb_OPPCw::Transaction Updates","Mises à jour pour les transactions"
"Customweb_OPPCw::Transaction cancelled successfully","La transaction a été annulée"
"Customweb_OPPCw::Transaction captured successfully","Transaction capturé avec succès"
"Customweb_OPPCw::Transaction failed with an unkown reason.","Transaction failed with an unkown reason."
"Customweb_OPPCw::Transaction failed with code @code and message @message.","Transaction failed with code @code and message @message."
"Customweb_OPPCw::Transaction failed with code @code.","Transaction failed with code @code."
"Customweb_OPPCw::Transaction history","Historique de transactions"
"Customweb_OPPCw::Transaction was authorized over the deferred authorization mechanism.","L'opération a été autorisée avec le mécanisme d'autorisation différé."
"Customweb_OPPCw::TransactionStatus URL","TransactionStatus URL"
"Customweb_OPPCw::Transactions","Transactions"
"Customweb_OPPCw::Unable to save the invoice.","Impossible d'enregistrer la facture."
"Customweb_OPPCw::Uncertain Status","Statut incertain"
"Customweb_OPPCw::Uncertain scoring","Uncertain scoring"
"Customweb_OPPCw::Uncertain transactions","Transactions incertaines"
"Customweb_OPPCw::Unexpected transaction context type.","Unexpected transaction context type."
"Customweb_OPPCw::Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order.","Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order."
"Customweb_OPPCw::United Kingdom","Royaume-Uni"
"Customweb_OPPCw::Unknown error occurred while processing your request.","Unknown error occurred while processing your request."
"Customweb_OPPCw::Update","Mettre à jour"
"Customweb_OPPCw::Update Qty's","Ajuster la quantité"
"Customweb_OPPCw::Update interval for payments","Interval de l'actualisation pour paiements via API"
"Customweb_OPPCw::Use Base Currency","Utiliser devise de base"
"Customweb_OPPCw::Use Default","Utilisez les paramètres standard"
"Customweb_OPPCw::Use Style","Use Style"
"Customweb_OPPCw::Use base currency","Utiliser la devise de base"
"Customweb_OPPCw::User ID","ID de l'utilisateur"
"Customweb_OPPCw::User Id","ID de l'utilisateur"
"Customweb_OPPCw::User Password","Mot de passe de l'utilisateur"
"Customweb_OPPCw::V PAY","V PAY"
"Customweb_OPPCw::VISA","VISA"
"Customweb_OPPCw::VISA (Debit)","VISA (Debit)"
"Customweb_OPPCw::VISA Electron","VISA Electron"
"Customweb_OPPCw::Validation","Valider"
"Customweb_OPPCw::Validation: The amounts do not match.","Validation: Les montants ne correspondent pas."
"Customweb_OPPCw::Validation: The currencies do not match.","Validation: Les devises ne correspondent pas."
"Customweb_OPPCw::Validation: The payment brands do not match.","Validation: Les marques de paiement ne correspondent pas."
"Customweb_OPPCw::Validation: The payment types do not match.","Validation: Les modes de paiement ne correspondent pas."
"Customweb_OPPCw::Version","Version"
"Customweb_OPPCw::Version 1 (Classic)","Version 1 (Classic)"
"Customweb_OPPCw::Version 2 (PCI DSS SAQ A)","Version 2 (PCI DSS SAQ A)"
"Customweb_OPPCw::View","Afficher"
"Customweb_OPPCw::Visa","Visa"
"Customweb_OPPCw::Wait On Success Page","Attendre sur la page de la réussite"
"Customweb_OPPCw::Waiting for bank","En attente de la banque"
"Customweb_OPPCw::Waiting for client payment","En attendant le paiement du client"
"Customweb_OPPCw::Waiting for risk management","En attente de la gestion des risques"
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order."
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order."
"Customweb_OPPCw::We cannot get the transaction instance.","Nous ne pouvons pas établir une transaction."
"Customweb_OPPCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Il y a un problème avec votre module de paiement sellxed. Pour plus d'informations, veuillez visiter la page d'informations du plugin."
"Customweb_OPPCw::Webhook Secret Key","Webhook Secret Key"
"Customweb_OPPCw::Webhook URL","Webhook URL"
"Customweb_OPPCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Lorsque la boutique n'est pas disponible (panne de réseau, une panne de serveur ou de toute autre panne), après le retour de Open Payment Platform envoyé,  le statut de la transaction ne sera pas mis à jour. Par conséquent, aucune confirmation de commande sera envoyé par e-mail et la commande n'aura pas le statut payé. En activant la mise à jour de la transaction, ces opérations peuvent être autorisées plus tard sur la liaison directe. Pour utiliser cette fonction, le service de mise à jour doit être activé et le nom d'utilisateur de l'API et le mot de passe de l'API doit être aussi configuré."
"Customweb_OPPCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Lorsque vous utilisez une commande externe, le client peut soit sélectionner une option d'authentification (en tant qu'invité, inscription ou login) ou il peut toujours être vérifié en tant qu'invité. Pour la deuxième option, guest checkout doit être activé chez Magento."
"Customweb_OPPCw::Wrapper for encrypted notifcation","Wrapper for encrypted notifcation"
"Customweb_OPPCw::Year","Année"
"Customweb_OPPCw::Yellow","Yellow"
"Customweb_OPPCw::Yes","Oui"
"Customweb_OPPCw::Yes, use images for the brand selection.","Oui, utiliser des images pour la sélection du type."
"Customweb_OPPCw::You can allow the customers to manage/delete their aliases in the their account.","Vous pouvez permettre aux clients de gérer / supprimer leurs alias dans leur compte."
"Customweb_OPPCw::You can change this brand code, if your PSP supports different countries for this payment method","Vous pouvez changer ce code de marque, si votre PSP accepte d'autres pays pour ce mode de paiement."
"Customweb_OPPCw::You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks.","You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks."
"Customweb_OPPCw::You can decide on the order status new orders should have after they are processed successfully.","Spécifiez le statut de la commande pour les nouvelles commandes qui ont été traitées avec succès."
"Customweb_OPPCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Spécifiez le statut de la commande pour les nouvelles commandes avec un statut d'autorisation incertain."
"Customweb_OPPCw::You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line.","Vous pouvez définir des paramètres personnalisés qui seront envoyés à la PSP avec chaque requête. Syntaxe: ""customParameters[RISK_MID]=123123"", un paramètre par ligne."
"Customweb_OPPCw::You can restrict the available countries. If no country is selected all available will be shown.","You can restrict the available countries. If no country is selected all available will be shown."
"Customweb_OPPCw::You can specify the order status for new orders that have an uncertain authorisation status.","Vous pouvez spécifier le statut de la commande pour les nouvelles commandes qui ont un statut d'autorisation incertain."
"Customweb_OPPCw::You can specify the order status for orders that are approved after being in a uncertain state.","Vous pouvez spécifier le statut de la commande pour les commandes qui sont approuvées après avoir été dans un statut incertain."
"Customweb_OPPCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Vous pouvez spécifier le statut de la commande pour les commandes qui sont capturés soit directement après la commande ou manuellement depuis le backend."
"Customweb_OPPCw::You can specify the order status for orders that are denied after being in a uncertain state.","Vous pouvez spécifier le statut de la commande pour les commandes qui sont refusées après avoir été dans un statut incertain."
"Customweb_OPPCw::You can specify the order status when an order is cancelled.","Vous pouvez spécifier le statut de la commande quand une commande est annulée."
"Customweb_OPPCw::You can specify the secret key during the setup of the webhook.","You can specify the secret key during the setup of the webhook."
"Customweb_OPPCw::You can switch between the different environments, by selecting the corresponding operation mode.","Vous pouvez choisir entre les différents environnements, en sélectionnant le mode de fonctionnement correspondant."
"Customweb_OPPCw::You can switch between the different test modes.","Vous pouvez changer entre les différents modes de test."
"Customweb_OPPCw::You can use a custom JavaScript file on the payment page and iframe authorization.","Vous pouvez utiliser un fichier CSS personnalisé sur la page de paiement et l'autorisation d'iFrame."
"Customweb_OPPCw::You can use a custom cancel button image for the payment page and iframe authorization.","Vous pouvez utiliser un fichier CSS personnalisé sur la page de paiement et l'autorisation d'iFrame."
"Customweb_OPPCw::You can use a custom css file on the payment page and iframe authorization.","Vous pouvez utiliser un fichier CSS personnalisé sur la page de paiement et l'autorisation d'iFrame."
"Customweb_OPPCw::You can use a custom pay button image for the payment page and iframe authorization.","Vous pouvez utiliser un fichier CSS personnalisé sur la page de paiement et l'autorisation d'iFrame."
"Customweb_OPPCw::You created the order.","Vous avez créé la commande."
"Customweb_OPPCw::You do not specify yet a user id. Please specify in the main configurations a user id.","Vous n'avez pas encore spécifié une ID d'utilisateur. Veuillez spécifier une ID d'utilisateur dans la configuration principale."
"Customweb_OPPCw::You do not specify yet a user password. Please specify in the main configurations a user password.","Vous n'avez pas encore spécifiéun mot de passe pour l'utilisateur. Veuillez spécifier un mot de passe dans la configuration principale."
"Customweb_OPPCw::You do not specify yet the global entity ID. Please specify in the main configurations a global entity id.","Vous n'avez pas encore spécifié une Global Entity ID. Veuillez la spécifier dans la configuration principale."
"Customweb_OPPCw::You have no stored aliases.","Vous n'avez pas d'alias."
"Customweb_OPPCw::You have to enter a card number.","Vous devez insérer le numéro de carte."
"Customweb_OPPCw::You have to enter bank code of your bank.","Il faut insérer le code banquaire de votre banque."
"Customweb_OPPCw::You have to enter commercial number of you company.","Il faut insérer le numéro de commerce de votre entreprise."
"Customweb_OPPCw::You have to enter either the CVC code or the issue number of your card.","Vous devez insérer le code CVC ou le numéro de série de votre carte."
"Customweb_OPPCw::You have to enter sales tax number of you company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"Customweb_OPPCw::You have to enter sales tax number of your company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"Customweb_OPPCw::You have to enter the BIC.","Vous devez saisir le code BIC."
"Customweb_OPPCw::You have to enter the CVC code from your card.","Vous devez insérer le code CVC de votre carte."
"Customweb_OPPCw::You have to enter the IBAN.","Il faut insérer l'IBAN du compte banquaire"
"Customweb_OPPCw::You have to enter the account holder name on the card.","Vous devez insérer le nom du titulaire de la carte."
"Customweb_OPPCw::You have to enter the account holder name.","Veuillez insérer ici le nom du titulaire de la carte."
"Customweb_OPPCw::You have to enter the card holder name on the card.","Vous devez insérer le titulaire de la carte."
"Customweb_OPPCw::You have to enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"Customweb_OPPCw::You have to enter the name of the account owner.","Vous devez insérer le titulaire de compte"
"Customweb_OPPCw::You have to enter the name of your bank.","Vous devez insérer le nom de votre banque."
"Customweb_OPPCw::You have to enter your IBAN Number.","Il faut insérer l'IBAN du compte banquaire"
"Customweb_OPPCw::You have to enter your bank account number.","Veuillez insérer l'IBAN de votre compte banquaire."
"Customweb_OPPCw::You have to enter your gender.","Vous devez insérer votre sexe."
"Customweb_OPPCw::You have to enter your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"Customweb_OPPCw::You may choose one of the cards you paid before on this site.","Vous pouvez choisir parmi les cartes utilisées précédemment:"
"Customweb_OPPCw::You may choose one of your stored payment details.","Sélectionnez l'une des informations de paiement enregistrées pour le paiement"
"Customweb_OPPCw::You must accept the terms of the mandate.","You must accept the terms of the mandate."
"Customweb_OPPCw::You must agree to the presented mandate text.","You must agree to the presented mandate text."
"Customweb_OPPCw::You must agree to the terms of service.","You must agree to the terms of service."
"Customweb_OPPCw::You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings.","Vous recevrez une Entity ID lorsque vous créez votre compte Open Payment Platform. Cette ID sera utilisée, quand aucune Entity ID sera définie dans les paramètres de la méthode de paiement."
"Customweb_OPPCw::You will be redirect to the order confirmation page.","Vous allez être redirigé vers la page de confirmation de commande."
"Customweb_OPPCw::You've reached the maximum amount of Afterpay paments.","You've reached the maximum amount of Afterpay paments."
"Customweb_OPPCw::Your CoC number is incorrect.","Your CoC number is incorrect."
"Customweb_OPPCw::Your address is invalid or incomplete.","Your address is invalid or incomplete."
"Customweb_OPPCw::Your age is below 18.","Your age is below 18."
"Customweb_OPPCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Votre navigateur ne permet pas l'exécution de JavaScript. Veuillez activer JavaScript dans votre navigateur et recharger cette page."
"Customweb_OPPCw::Your email address is invalid or incomplete.","Your email address is invalid or incomplete."
"Customweb_OPPCw::Your order amount is too high.","Your order amount is too high."
"Customweb_OPPCw::Your order amount is too low.","Your order amount is too low."
"Customweb_OPPCw::Your request to use Afterpay has been declined.","Your request to use Afterpay has been declined."
"Customweb_OPPCw::OPPCw Aliases","OPPCw Alias"
"Customweb_OPPCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_OPPCw::Open Payment Platform Aliases","Alias Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Error","Erreur de Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Parameters","Open Payment Platform Paramètres"
"Customweb_OPPCw::Open Payment Platform Refund Items","Open Payment Platform _ remboursement articles"
"Customweb_OPPCw::Open Payment Platform Section","Section Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Transactions","Transactions de Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Unique ID","Open Payment Platform Unique ID"
"Customweb_OPPCw::Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail.","Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail."
"Customweb_OPPCw::Open Payment Platform:","Open Payment Platform:"
"Customweb_OPPCw::Open Payment Platform: Alias Management","Open Payment Platform: Gestion des Alias"
"Customweb_OPPCw::customweb ltd","customweb ltd"
"Customweb_OPPCw::http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1","http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1"
"Customweb_OPPCw::md5","md5"
"Customweb_OPPCw::no","no"
"Customweb_OPPCw::or","ou"
"Customweb_OPPCw::sha2-384","sha2-384"
"Customweb_OPPCw::yes","Oui"
